,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
0,12,660,7,37,14,100,loser,blue,0,,,,,,,,,,,,,
1,4,240,7,33,34,100,loser,red,1,,,,,,,,,,,,,
2,7,240,9,80,53,100,winner,yellow,0,,,,Missiles Fired,,,,,,Deaths,,,
3,5,320,5,31,23,100,loser,green,1,,,,Tank 1,Tank 2,Tank 3,Tank 4,,,Tank 1,Tank 2,Tank 3,Tank 4
4,13,640,10,52,25,99,loser,blue,0,,Mean,,27.01,43.38,42.52,42.25,,,5.66,5.34,5.81,5.49
5,8,800,5,48,24,99,loser,red,1,,SUM,,2701,4338,4252,4225,,,566,534,581,549
6,2,40,5,27,33,99,loser,yellow,0,,STDDEV.S,,11.120547,16.47696893,16.64330484,18.90506586,,,2.425537533,2.387763418,2.848692771,2.397368085
7,4,400,8,73,54,99,winner,green,1,,COUNT,,100,100,100,100,,,100,100,100,100
8,6,500,4,48,21,98,loser,blue,0,,CONFIDENCE.T,,2.206557788,3.269388106,3.302392759,3.751175215,,,0.481279269,0.473784065,0.565242449,0.475689839
9,6,1060,7,74,50,98,winner,red,1,,,,,,,,,,,,,
10,8,560,7,42,26,98,loser,yellow,0,,Upper,,29.21655779,46.64938811,45.82239276,46.00117521,,,6.141279269,5.813784065,6.375242449,5.965689839
11,3,160,5,36,26,98,loser,green,1,,Mid,,27.01,43.38,42.52,42.25,,,5.66,5.34,5.81,5.49
12,7,340,4,43,16,97,loser,blue,0,,Lower,,24.80344221,40.11061189,39.21760724,38.49882479,,,5.178720731,4.866215935,5.244757551,5.014310161
13,7,500,9,68,50,97,winner,red,1,,,,,,,,,,,,,
14,5,640,4,52,27,97,loser,yellow,0,,,,,,,,,,,,,
15,9,880,11,58,37,97,loser,green,1,,,,,,,,,,,,,
16,9,380,8,35,33,96,loser,blue,0,,,,,,,,,,,,,
17,9,160,9,50,51,96,winner,red,1,,,,,,,,,,,,,
18,6,280,8,58,38,96,loser,yellow,0,,,,,,,,,,,,,
19,8,480,8,35,18,96,loser,green,1,,,,,,,,,,,,,
20,1,80,4,24,41,95,loser,blue,0,,,,,,,,,,,,,
21,6,120,10,48,52,95,winner,red,1,,,,,,,,,,,,,
22,4,180,1,30,-2,95,loser,yellow,0,,,,,,,,,,,,,
23,7,500,3,11,-12,95,loser,green,1,,,,,,,,,,,,,
24,4,60,0,3,-17,94,loser,blue,0,,,,,,,,,,,,,
25,1,220,7,34,53,94,winner,red,1,,,,,,,,,,,,,
26,5,440,3,19,5,94,loser,yellow,0,,,,,,,,,,,,,
27,2,100,2,22,19,94,loser,green,1,,,,,,,,,,,,,
28,6,200,2,19,-2,93,loser,blue,0,,,,,,,,,,,,,
29,6,160,5,33,18,93,loser,red,1,,,,,,,,,,,,,
30,5,140,10,45,51,93,winner,yellow,0,,,,,,,,,,,,,
31,4,200,4,28,16,93,loser,green,1,,,,,,,,,,,,,
32,5,240,4,33,22,92,loser,blue,0,,,,,,,,,,,,,
33,6,220,8,66,52,92,winner,red,1,,,,,,,,,,,,,
34,5,460,5,58,29,92,loser,yellow,0,,,,,,,,,,,,,
35,5,300,4,28,10,92,loser,green,1,,,,,,,,,,,,,
36,7,240,3,27,1,91,loser,blue,0,,,,,,,,,,,,,
37,2,280,8,37,51,91,winner,red,1,,,,,,,,,,,,,
38,5,780,3,33,7,91,loser,yellow,0,,,,,,,,,,,,,
39,4,220,5,31,23,91,loser,green,1,,,,,,,,,,,,,
40,2,60,0,5,-4,90,loser,blue,0,,,,,,,,,,,,,
41,6,480,3,33,9,90,loser,red,1,,,,,,,,,,,,,
42,2,320,7,47,51,90,winner,yellow,0,,,,,,,,,,,,,
43,4,200,4,29,15,90,loser,green,1,,,,,,,,,,,,,
44,7,160,8,16,18,89,loser,blue,0,,,,,,,,,,,,,
45,4,300,5,51,32,89,loser,red,1,,,,,,,,,,,,,
46,5,40,10,26,52,89,winner,yellow,0,,,,,,,,,,,,,
47,10,280,5,17,-14,89,loser,green,1,,,,,,,,,,,,,
48,11,440,5,35,-3,88,loser,blue,0,,,,,,,,,,,,,
49,5,640,6,62,36,88,loser,red,1,,,,,,,,,,,,,
50,10,360,13,58,51,88,winner,yellow,0,,,,,,,,,,,,,
51,5,80,8,50,41,88,loser,green,1,,,,,,,,,,,,,
52,6,80,4,22,7,87,loser,blue,0,,,,,,,,,,,,,
53,5,200,2,27,-2,87,loser,red,1,,,,,,,,,,,,,
54,6,160,9,61,50,87,winner,yellow,0,,,,,,,,,,,,,
55,6,100,8,42,47,87,loser,green,1,,,,,,,,,,,,,
56,10,500,9,52,34,86,loser,blue,0,,,,,,,,,,,,,
57,7,320,9,47,47,86,loser,red,1,,,,,,,,,,,,,
58,8,220,11,58,50,86,winner,yellow,0,,,,,,,,,,,,,
59,9,420,5,53,14,86,loser,green,1,,,,,,,,,,,,,
60,7,260,8,45,40,85,loser,blue,0,,,,,,,,,,,,,
61,7,320,9,61,50,85,winner,red,1,,,,,,,,,,,,,
62,14,940,11,65,23,85,loser,yellow,0,,,,,,,,,,,,,
63,7,460,8,80,45,85,loser,green,1,,,,,,,,,,,,,
64,6,60,7,36,36,84,loser,blue,0,,,,,,,,,,,,,
65,9,300,7,55,13,84,loser,red,1,,,,,,,,,,,,,
66,9,780,10,49,47,84,loser,yellow,0,,,,,,,,,,,,,
