0    [main] WARN  com.commsen.stopwatch.Stopwatch  - Properties file stopwatch-engine.properties not found on classpath! Properties not set!
16064 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 14 (loser)
16065 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: blue] [Team: 0] [Points: 14] [Status: loser] [Kills: 7] [Deaths: 12] [Missiles Fired: 37] [Energy Used:660]
16065 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 34 (loser)
16065 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: red] [Team: 1] [Points: 34] [Status: loser] [Kills: 7] [Deaths: 4] [Missiles Fired: 33] [Energy Used:240]
16065 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 53 (winner)
16066 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: yellow] [Team: 0] [Points: 53] [Status: winner] [Kills: 9] [Deaths: 7] [Missiles Fired: 80] [Energy Used:240]
16067 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 23 (loser)
16067 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: green] [Team: 1] [Points: 23] [Status: loser] [Kills: 5] [Deaths: 5] [Missiles Fired: 31] [Energy Used:320]
32298 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 25 (loser)
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: blue] [Team: 0] [Points: 25] [Status: loser] [Kills: 10] [Deaths: 13] [Missiles Fired: 52] [Energy Used:640]
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 24 (loser)
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: red] [Team: 1] [Points: 24] [Status: loser] [Kills: 5] [Deaths: 8] [Missiles Fired: 48] [Energy Used:800]
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 33 (loser)
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: yellow] [Team: 0] [Points: 33] [Status: loser] [Kills: 5] [Deaths: 2] [Missiles Fired: 27] [Energy Used:40]
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 54 (winner)
32299 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: green] [Team: 1] [Points: 54] [Status: winner] [Kills: 8] [Deaths: 4] [Missiles Fired: 73] [Energy Used:400]
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 21 (loser)
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: blue] [Team: 0] [Points: 21] [Status: loser] [Kills: 4] [Deaths: 6] [Missiles Fired: 48] [Energy Used:500]
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 50 (winner)
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: red] [Team: 1] [Points: 50] [Status: winner] [Kills: 7] [Deaths: 6] [Missiles Fired: 74] [Energy Used:1060]
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 26 (loser)
49109 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: yellow] [Team: 0] [Points: 26] [Status: loser] [Kills: 7] [Deaths: 8] [Missiles Fired: 42] [Energy Used:560]
49110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 26 (loser)
49110 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: green] [Team: 1] [Points: 26] [Status: loser] [Kills: 5] [Deaths: 3] [Missiles Fired: 36] [Energy Used:160]
69587 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 16 (loser)
69587 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: blue] [Team: 0] [Points: 16] [Status: loser] [Kills: 4] [Deaths: 7] [Missiles Fired: 43] [Energy Used:340]
69587 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 50 (winner)
69587 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: red] [Team: 1] [Points: 50] [Status: winner] [Kills: 9] [Deaths: 7] [Missiles Fired: 68] [Energy Used:500]
69588 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 27 (loser)
69588 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: yellow] [Team: 0] [Points: 27] [Status: loser] [Kills: 4] [Deaths: 5] [Missiles Fired: 52] [Energy Used:640]
69588 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 37 (loser)
69588 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: green] [Team: 1] [Points: 37] [Status: loser] [Kills: 11] [Deaths: 9] [Missiles Fired: 58] [Energy Used:880]
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 33 (loser)
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: blue] [Team: 0] [Points: 33] [Status: loser] [Kills: 8] [Deaths: 9] [Missiles Fired: 35] [Energy Used:380]
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - red: 51 (winner)
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: red] [Team: 1] [Points: 51] [Status: winner] [Kills: 9] [Deaths: 9] [Missiles Fired: 50] [Energy Used:160]
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: 38 (loser)
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: yellow] [Team: 0] [Points: 38] [Status: loser] [Kills: 8] [Deaths: 6] [Missiles Fired: 58] [Energy Used:280]
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 18 (loser)
89686 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: green] [Team: 1] [Points: 18] [Status: loser] [Kills: 8] [Deaths: 8] [Missiles Fired: 35] [Energy Used:480]
100390 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 41 (loser)
