,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team
0,4,40,0,0,-20,1000,loser,black,0
1,2,360,6,41,52,1000,winner,green,1
2,3,100,1,1,-11,1000,loser,purple,0
3,0,200,2,24,22,1000,loser,blue,1
4,4,120,0,0,-21,999,loser,black,0
5,1,80,6,39,51,999,winner,green,1
6,4,20,0,1,-19,999,loser,purple,0
7,3,180,6,55,43,999,loser,blue,1
8,1,160,1,8,10,998,loser,black,0
9,5,120,8,62,54,998,winner,green,1
10,7,280,2,5,-22,998,loser,purple,0
11,3,100,5,33,30,998,loser,blue,1
12,4,60,0,0,-20,997,loser,black,0
13,2,160,5,45,39,997,loser,green,1
14,4,0,0,2,-16,997,loser,purple,0
15,2,240,7,55,51,997,winner,blue,1
16,6,20,0,0,-30,996,loser,black,0
17,0,0,5,32,51,996,winner,green,1
18,1,0,0,2,-5,996,loser,purple,0
19,0,160,2,19,18,996,loser,blue,1
20,5,20,1,2,-16,995,loser,black,0
21,0,200,2,24,25,995,loser,green,1
22,3,140,0,0,-19,995,loser,purple,0
23,1,100,6,32,50,995,winner,blue,1
24,4,0,1,3,-11,994,loser,black,0
25,1,0,6,30,46,994,loser,green,1
26,6,120,0,1,-28,994,loser,purple,0
27,3,40,7,37,51,994,winner,blue,1
28,2,0,0,0,-12,993,loser,black,0
29,4,60,7,46,36,993,loser,green,1
30,5,100,1,0,-20,993,loser,purple,0
31,2,260,6,42,51,993,winner,blue,1
32,9,20,0,3,-38,992,loser,black,0
33,1,0,4,22,31,992,loser,green,1
34,0,240,0,1,0,992,loser,purple,0
35,0,0,6,30,50,992,winner,blue,1
36,5,20,0,3,-18,991,loser,black,0
37,1,0,4,30,31,991,loser,green,1
38,4,120,0,2,-23,991,loser,purple,0
39,0,140,6,30,50,991,winner,blue,1
40,3,40,0,0,-15,990,loser,black,0
41,0,0,3,14,26,990,loser,green,1
42,6,80,1,1,-24,990,loser,purple,0
43,1,0,6,29,50,990,winner,blue,1
44,5,420,0,3,-19,989,loser,black,0
45,3,0,7,47,53,989,winner,green,1
46,5,280,1,5,-20,989,loser,purple,0
47,1,180,7,30,48,989,loser,blue,1
48,2,280,0,1,-8,988,loser,black,0
49,2,200,7,42,50,988,winner,green,1
50,5,0,0,1,-24,988,loser,purple,0
51,3,120,5,46,36,988,loser,blue,1
52,7,60,0,1,-35,987,loser,black,0
53,1,120,5,29,44,987,loser,green,1
54,2,0,1,0,-7,987,loser,purple,0
55,2,160,6,36,51,987,winner,blue,1
56,2,0,0,0,-10,986,loser,black,0
57,1,380,4,33,37,986,loser,green,1
58,5,120,0,2,-27,986,loser,purple,0
59,2,280,6,44,52,986,winner,blue,1
60,4,100,0,0,-22,985,loser,black,0
61,2,0,7,34,53,985,winner,green,1
62,5,160,0,0,-21,985,loser,purple,0
63,2,40,6,35,40,985,loser,blue,1
64,2,420,0,6,-10,984,loser,black,0
65,1,200,6,50,51,984,winner,green,1
66,6,120,0,0,-30,984,loser,purple,0
67,2,160,5,67,39,984,loser,blue,1
68,6,60,0,1,-28,983,loser,black,0
69,1,20,6,42,53,983,winner,green,1
70,2,40,0,0,-11,983,loser,purple,0
71,1,160,5,23,33,983,loser,blue,1
72,3,120,0,1,-13,982,loser,black,0
73,1,20,2,19,9,982,loser,green,1
74,3,20,0,0,-15,982,loser,purple,0
75,1,60,6,28,51,982,winner,blue,1
76,3,20,0,0,-17,981,loser,black,0
77,0,0,6,24,52,981,winner,green,1
78,5,160,0,0,-26,981,loser,purple,0
79,2,260,4,29,36,981,loser,blue,1
80,5,140,0,1,-23,980,loser,black,0
81,1,40,7,34,51,980,winner,green,1
82,3,0,0,0,-13,980,loser,purple,0
83,2,20,4,24,22,980,loser,blue,1
84,6,200,0,1,-28,979,loser,black,0
85,1,120,5,35,42,979,loser,green,1
86,3,0,0,0,-15,979,loser,purple,0
87,1,80,6,31,53,979,winner,blue,1
88,1,40,0,0,-7,978,loser,black,0
89,1,20,6,35,51,978,winner,green,1
90,4,140,0,0,-23,978,loser,purple,0
91,2,120,2,32,16,978,loser,blue,1
92,3,100,0,0,-17,977,loser,black,0
93,3,80,1,11,0,977,loser,green,1
94,0,0,0,0,0,977,loser,purple,0
95,1,0,6,28,51,977,winner,blue,1
96,5,140,0,2,-24,976,loser,black,0
97,1,0,6,34,51,976,winner,green,1
98,5,80,0,0,-26,976,loser,purple,0
99,1,20,6,33,47,976,loser,blue,1
100,4,0,0,2,-16,975,loser,black,0
101,3,140,8,37,50,975,winner,green,1
102,4,20,2,0,-8,975,loser,purple,0
103,2,180,3,18,18,975,loser,blue,1
104,4,20,0,0,-20,974,loser,black,0
105,1,40,6,33,51,974,winner,green,1
106,4,20,0,0,-21,974,loser,purple,0
107,1,40,4,23,31,974,loser,blue,1
108,4,80,1,0,-14,973,loser,black,0
109,3,60,4,25,26,973,loser,green,1
110,4,160,0,0,-21,973,loser,purple,0
111,1,20,7,49,50,973,winner,blue,1
112,5,120,1,0,-23,972,loser,black,0
113,0,140,6,39,53,972,winner,green,1
114,5,40,0,6,-21,972,loser,purple,0
115,1,0,4,25,35,972,loser,blue,1
116,4,60,1,0,-17,971,loser,black,0
117,4,0,4,16,9,971,loser,green,1
118,3,60,1,3,-4,971,loser,purple,0
119,1,60,6,52,50,971,winner,blue,1
120,4,20,0,2,-13,970,loser,black,0
121,2,60,4,14,19,970,loser,green,1
122,4,0,0,1,-17,970,loser,purple,0
123,0,0,6,22,51,970,winner,blue,1
124,4,20,0,0,-20,969,loser,black,0
125,0,120,1,7,5,969,loser,green,1
126,2,0,0,1,-8,969,loser,purple,0
127,0,120,5,22,50,969,winner,blue,1
128,1,120,0,4,-1,968,loser,black,0
129,0,160,5,40,51,968,winner,green,1
130,5,340,0,0,-27,968,loser,purple,0
131,0,20,1,16,7,968,loser,blue,1
132,4,40,1,2,-16,967,loser,black,0
133,0,0,3,13,24,967,loser,green,1
134,4,20,0,1,-19,967,loser,purple,0
135,1,0,5,30,52,967,winner,blue,1
136,2,40,0,0,-11,966,loser,black,0
137,3,20,5,37,51,966,winner,green,1
138,5,100,0,0,-29,966,loser,purple,0
