0    [main] WARN  com.commsen.stopwatch.Stopwatch  - Properties file stopwatch-engine.properties not found on classpath! Properties not set!
6340 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
6341 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 51] [Energy Used:340]
6341 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 6 (loser)
6341 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: purple] [Team: 1] [Points: 6] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 14] [Energy Used:80]
6342 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -12 (loser)
6343 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: yellow] [Team: 0] [Points: -12] [Status: loser] [Kills: 0] [Deaths: 2] [Missiles Fired: 2] [Energy Used:180]
6343 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 7 (loser)
6343 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 100 [Tank: green] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 3] [Missiles Fired: 20] [Energy Used:140]
16480 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 54 (winner)
16480 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: blue] [Team: 0] [Points: 54] [Status: winner] [Kills: 5] [Deaths: 0] [Missiles Fired: 44] [Energy Used:80]
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 2 (loser)
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: purple] [Team: 1] [Points: 2] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 5] [Energy Used:80]
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -31 (loser)
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: yellow] [Team: 0] [Points: -31] [Status: loser] [Kills: 0] [Deaths: 6] [Missiles Fired: 0] [Energy Used:80]
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 16 (loser)
16481 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 99 [Tank: green] [Team: 1] [Points: 16] [Status: loser] [Kills: 2] [Deaths: 1] [Missiles Fired: 17] [Energy Used:180]
21330 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
21330 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 48] [Energy Used:540]
21330 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 19 (loser)
21331 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: purple] [Team: 1] [Points: 19] [Status: loser] [Kills: 2] [Deaths: 2] [Missiles Fired: 23] [Energy Used:220]
21331 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -26 (loser)
21331 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: yellow] [Team: 0] [Points: -26] [Status: loser] [Kills: 0] [Deaths: 5] [Missiles Fired: 0] [Energy Used:100]
21331 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 19 (loser)
21331 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 98 [Tank: green] [Team: 1] [Points: 19] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 20] [Energy Used:220]
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 5] [Deaths: 1] [Missiles Fired: 38] [Energy Used:180]
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 4 (loser)
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: purple] [Team: 1] [Points: 4] [Status: loser] [Kills: 2] [Deaths: 3] [Missiles Fired: 12] [Energy Used:520]
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -22 (loser)
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: yellow] [Team: 0] [Points: -22] [Status: loser] [Kills: 0] [Deaths: 4] [Missiles Fired: 0] [Energy Used:40]
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 9 (loser)
26610 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 97 [Tank: green] [Team: 1] [Points: 9] [Status: loser] [Kills: 1] [Deaths: 0] [Missiles Fired: 11] [Energy Used:160]
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 50 (winner)
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: blue] [Team: 0] [Points: 50] [Status: winner] [Kills: 6] [Deaths: 2] [Missiles Fired: 61] [Energy Used:460]
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 36 (loser)
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: purple] [Team: 1] [Points: 36] [Status: loser] [Kills: 6] [Deaths: 2] [Missiles Fired: 29] [Energy Used:360]
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -42 (loser)
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: yellow] [Team: 0] [Points: -42] [Status: loser] [Kills: 0] [Deaths: 10] [Missiles Fired: 3] [Energy Used:280]
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 32 (loser)
36288 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 96 [Tank: green] [Team: 1] [Points: 32] [Status: loser] [Kills: 4] [Deaths: 1] [Missiles Fired: 21] [Energy Used:240]
45861 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 51 (winner)
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: blue] [Team: 0] [Points: 51] [Status: winner] [Kills: 6] [Deaths: 1] [Missiles Fired: 35] [Energy Used:40]
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: 7 (loser)
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: purple] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 0] [Missiles Fired: 5] [Energy Used:100]
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -37 (loser)
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: yellow] [Team: 0] [Points: -37] [Status: loser] [Kills: 1] [Deaths: 8] [Missiles Fired: 1] [Energy Used:320]
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 27 (loser)
45862 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 95 [Tank: green] [Team: 1] [Points: 27] [Status: loser] [Kills: 3] [Deaths: 2] [Missiles Fired: 21] [Energy Used:0]
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 53 (winner)
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: blue] [Team: 0] [Points: 53] [Status: winner] [Kills: 7] [Deaths: 1] [Missiles Fired: 41] [Energy Used:220]
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -9 (loser)
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: purple] [Team: 1] [Points: -9] [Status: loser] [Kills: 1] [Deaths: 5] [Missiles Fired: 11] [Energy Used:120]
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -11 (loser)
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: yellow] [Team: 0] [Points: -11] [Status: loser] [Kills: 0] [Deaths: 2] [Missiles Fired: 0] [Energy Used:80]
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - green: 7 (loser)
53887 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 94 [Tank: green] [Team: 1] [Points: 7] [Status: loser] [Kills: 1] [Deaths: 1] [Missiles Fired: 6] [Energy Used:260]
61086 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - blue: 53 (winner)
61086 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: blue] [Team: 0] [Points: 53] [Status: winner] [Kills: 5] [Deaths: 1] [Missiles Fired: 53] [Energy Used:340]
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - purple: -3 (loser)
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: purple] [Team: 1] [Points: -3] [Status: loser] [Kills: 1] [Deaths: 2] [Missiles Fired: 5] [Energy Used:400]
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - yellow: -12 (loser)
61087 [main] WARN  edu.umich.soar.gridmap2d.world.WorldUtil  - Run: 93 [Tank: yellow] [Team: 0] [Points: -12] [Status: loser] [Kills: 0] [Deaths: 2] [Missiles Fired: 0] [Energy Used:60]
